Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,2.9231,1.1748,7.4825,-1.0742,-0.3167,29.4794,M4,E4,6
0.1681,2.8328,0.721,2.7006,-1.0734,-0.3167,29.3773,M4,E4,6
0.3218,2.829,0.6302,0.5904,-1.0726,-0.3167,29.2839,M4,E4,6
0.4722,2.7835,0.612,0.1207,-1.0719,-0.3167,29.1926,M4,E4,6
0.634,2.7476,0.6084,0.0224,-1.0711,-0.3167,29.0943,M4,E4,6
0.7925,2.6999,0.6077,0.0046,-1.0703,-0.3167,28.998,M4,E4,6
0.9418,2.6499,0.6075,0.001,-1.0696,-0.3167,28.9073,M4,E4,6
1.0699,2.5955,0.6075,0.0004,-1.0689,-0.3167,28.8295,M4,E4,6
1.1932,2.5566,0.6075,0.0005,-1.0683,-0.3167,28.7546,M4,E4,6
1.333,2.5314,0.6075,0.0006,-1.0676,-0.3167,28.6697,M4,E4,6
1.4576,2.4834,0.6075,0.0007,-1.0669,-0.3167,28.594,M4,E4,6
1.6023,2.46,0.6075,0.0004,-1.0662,-0.3167,28.5061,M4,E4,6
1.719,2.4033,0.6075,0.001,-1.0655,-0.3167,28.4352,M4,E4,6
1.8582,2.3835,0.6075,0.0006,-1.0648,-0.3167,28.3506,M4,E4,6
1.976,2.3323,0.6075,0.0016,-1.0641,-0.3167,28.2791,M4,E4,6
2.1197,2.3143,0.6075,0.0007,-1.0632,-0.3167,28.1918,M4,E4,6
2.2361,2.2586,0.6075,0.002,-1.0625,-0.3167,28.1211,M4,E4,6
2.4125,2.2605,0.6075,0.0007,-1.0615,-0.3167,28.0139,M4,E4,6
2.5421,2.1847,0.6075,0.0025,-1.0606,-0.3167,27.9351,M4,E4,6
2.6776,2.152,0.6075,0.0004,-1.0597,-0.3167,27.8529,M4,E4,6
2.7944,2.1039,0.6075,0.0046,-1.0589,-0.3167,27.7819,M4,E4,6
2.9427,2.0895,0.6075,0.0026,-1.0578,-0.3167,27.6918,M4,E4,6
3.0639,2.0332,0.6075,0.0045,-1.0568,-0.3167,27.6182,M4,E4,6
3.209,2.0133,0.6075,0.0018,-1.0556,-0.3167,27.5301,M4,E4,6
3.3245,1.9568,0.6075,0.0065,-1.0545,-0.3167,27.4599,M4,E4,6
3.4671,1.9404,0.6075,0.003,-1.0531,-0.3167,27.3733,M4,E4,6
3.5885,1.8895,0.6075,0.0083,-1.0518,-0.3167,27.2995,M4,E4,6
3.7344,1.8702,0.6075,0.0034,-1.0502,-0.3167,27.2109,M4,E4,6
3.8618,1.8201,0.6075,0.0089,-1.0486,-0.3167,27.1336,M4,E4,6
4.001,1.7923,0.6075,0.0047,-1.0468,-0.3167,27.049,M4,E4,6
4.1229,1.745,0.6075,0.0115,-1.0451,-0.3167,26.975,M4,E4,6
4.2648,1.7235,0.6075,0.0075,-1.0429,-0.3167,26.8888,M4,E4,6
4.3864,1.6742,0.6075,0.0142,-1.0408,-0.3167,26.8149,M4,E4,6
4.5331,1.6557,0.6075,0.0075,-1.0381,-0.3167,26.7259,M4,E4,6
4.6522,1.6016,0.6075,0.018,-1.0356,-0.3167,26.6536,M4,E4,6
4.7921,1.5816,0.6075,0.0087,-1.0326,-0.3167,26.5686,M4,E4,6
4.9236,1.5403,0.6075,0.0214,-1.0293,-0.3167,26.4888,M4,E4,6
5.0666,1.5124,0.6075,0.0112,-1.0256,-0.3167,26.402,M4,E4,6
5.1964,1.468,0.6075,0.0205,-1.0218,-0.3167,26.3232,M4,E4,6
5.3455,1.4452,0.6075,0.0151,-1.0171,-0.3167,26.2328,M4,E4,6
5.4714,1.3946,0.6075,0.0273,-1.0127,-0.3167,26.1564,M4,E4,6
5.6152,1.3725,0.6075,0.0165,-1.0074,-0.3167,26.0692,M4,E4,6
5.7417,1.3272,0.6075,0.0356,-1.0021,-0.3167,25.9926,M4,E4,6
5.887,1.306,0.6075,0.0196,-0.9956,-0.3167,25.9045,M4,E4,6
6.0155,1.2615,0.6075,0.0375,-0.9892,-0.3167,25.8267,M4,E4,6
6.1636,1.2214,0.4814,0.8653,-0.9801,-0.3167,25.7607,M4,E4,6
6.2904,1.1586,0.4562,0.2146,-0.9715,-0.3167,25.7043,M4,E4,6
6.4348,1.1201,0.4512,0.061,-0.9609,-0.3167,25.6402,M4,E4,6
6.5702,1.066,0.4502,0.0726,-0.9495,-0.3167,25.5804,M4,E4,6
6.6783,1.0096,0.45,0.0727,-0.9397,-0.3167,25.5327,M4,E4,6
6.8189,0.9864,0.45,0.0733,-0.9253,-0.3167,25.4711,M4,E4,6
6.9464,1.0029,0.45,0.0933,-0.9108,-0.3167,25.4156,M4,E4,6
7.0933,0.9819,0.45,0.0531,-0.8931,-0.3167,25.3519,M4,E4,6
7.2251,1.0196,0.4499,0.0936,-0.8756,-0.3167,25.2952,M4,E4,6
7.3725,0.9701,0.45,0.0068,-0.8562,-0.3167,25.2318,M4,E4,6
7.5035,0.9974,0.4497,0.238,-0.8439,-0.3167,25.1741,M4,E4,6
7.6533,0.9703,0.4497,0.2154,-0.8229,-0.3167,25.1101,M4,E4,6
7.7905,0.9923,0.4495,0.273,-0.811,-0.3167,25.0495,M4,E4,6
7.9333,0.9593,0.4499,0.0383,-0.7983,-0.3167,24.9865,M4,E4,6
8.0732,0.9951,0.4495,0.2952,-0.7786,-0.3167,24.9267,M4,E4,6
8.2188,0.9542,0.4498,0.1315,-0.7629,-0.3167,24.8631,M4,E4,6
8.3691,0.9908,0.4494,0.3065,-0.7378,-0.3167,24.8003,M4,E4,6
8.5073,0.9517,0.4498,0.0687,-0.7147,-0.3167,24.7425,M4,E4,6
8.6656,0.9491,0.4497,0.1803,-0.6938,-0.3167,24.6744,M4,E4,6
8.7948,0.9896,0.4498,0.1718,-0.6726,-0.3167,24.6203,M4,E4,6
8.9299,0.9864,0.4499,0.1246,-0.6538,-0.3167,24.5625,M4,E4,6
9.066,0.9798,0.4497,0.251,-0.6288,-0.3167,24.5066,M4,E4,6
9.2027,0.9879,0.4498,0.1306,-0.6021,-0.3167,24.4512,M4,E4,6
9.3464,0.9767,0.45,0.0271,-0.5739,-0.3167,24.393,M4,E4,6
9.4905,0.9504,0.45,0.0279,-0.5465,-0.3167,24.3342,M4,E4,6
9.6318,0.9163,0.45,0.0243,-0.5188,-0.3167,24.277,M4,E4,6
9.7889,0.9316,0.45,0.0027,-0.4883,-0.3167,24.2132,M4,E4,6
9.9505,0.949,0.45,0.0234,-0.4576,-0.3167,24.1472,M4,E4,6
10.1276,0.9713,0.45,0.0498,-0.4256,-0.3167,24.0743,M4,E4,6
10.2731,0.9922,0.45,0.0741,-0.4008,-0.3167,24.0137,M4,E4,6
10.4284,1.0156,0.4499,0.0882,-0.3764,-0.3167,23.9482,M4,E4,6
10.5745,1.0405,0.4499,0.0813,-0.3551,-0.3167,23.886,M4,E4,6
10.723,1.0658,0.4499,0.0879,-0.3353,-0.3167,23.8222,M4,E4,6
10.8873,1.0924,0.4499,0.0773,-0.3153,-0.3167,23.751,M4,E4,6
